INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
33,1991,AZ0072300,Phoenix,,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",13-Nov-91,,,1,,,White,,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
3010,1991,AZ0072300,Phoenix,,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",7-Dec-91,,,1,,,Unknown,,1,Intimidation,1,Restaurant,Anti-Asian,Individual,S,S
51,1991,CA0300900,Garden Grove,,City,CA,California,Pacific,West,2,"Cities from 100,000 thru 249,999",16-Aug-91,,,2,,,White,,2,Aggravated Assault,2,Parking/Drop Lot/Garage,Anti-Asian,Individual,S,S
77,1991,CO0010100,Aurora,,City,CO,Colorado,Mountain,West,2,"Cities from 100,000 thru 249,999",1-Aug-91,,,1,,,White,,1,Aggravated Assault,1,Residence/Home,Anti-Asian,Individual,S,S
95,1991,CO0031200,Chatfield State Park,,Other State Agency,CO,Colorado,Mountain,West,7,"Cities under 2,500",29-Jun-91,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,1,Other/Unknown,Anti-Asian,Individual,S,S
2783,1991,CO0070100,Boulder,,City,CO,Colorado,Mountain,West,3,"Cities from 50,000 thru 99,999",20-Dec-91,,,1,,,White,,1,Simple Assault,1,Parking/Drop Lot/Garage,Anti-Asian,Individual,S,S
102,1991,CO0210100,Colorado Springs,,City,CO,Colorado,Mountain,West,1C,"Cities from 250,000 thru 499,999",24-Nov-91,,,0,,,Unknown,,2,Intimidation,2,Residence/Home,Anti-Asian,Individual,S,S
53,1991,CODPD0000,Denver,,City,CO,Colorado,Mountain,West,1C,"Cities from 250,000 thru 499,999",1-Feb-91,,,0,,,Unknown,,1,Intimidation,1,School/College,Anti-Asian,Individual,S,S
60,1991,CODPD0000,Denver,,City,CO,Colorado,Mountain,West,1C,"Cities from 250,000 thru 499,999",13-Jun-91,,,0,,,Unknown,,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
66,1991,CODPD0000,Denver,,City,CO,Colorado,Mountain,West,1C,"Cities from 250,000 thru 499,999",23-Aug-91,,,2,,,White,,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
